y_exp,y_pred,order
8.405497550964355469e+00,8.478359222412109375e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-1.008479309082031250e+01,4.000000000000000000e+00
1.144272804260253906e+01,1.142218589782714844e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.847018003463745117e+00,4.000000000000000000e+00
6.870171070098876953e+00,6.857878208160400391e+00,4.000000000000000000e+00
1.003834629058837891e+01,1.007226467132568359e+01,4.000000000000000000e+00
-1.839866280555725098e+00,-1.803944349288940430e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.312976121902465820e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.472807645797729492e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.338291454315185547e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.578120231628417969e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.683387517929077148e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.395518398284912109e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-8.619390726089477539e-01,4.000000000000000000e+00
-4.413256168365478516e+00,-4.426795959472656250e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.580297946929931641e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.119077587127685547e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.436439990997314453e+01,4.000000000000000000e+00
2.972495794296264648e+00,2.906801700592041016e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.422508955001831055e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-9.895392417907714844e+00,3.000000000000000000e+00
2.452075242996215820e+00,2.298310518264770508e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.142222404479980469e+01,4.000000000000000000e+00
3.895679473876953125e+00,3.863615989685058594e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.097975349426269531e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.575671672821044922e+00,3.000000000000000000e+00
5.538250803947448730e-01,5.653024315834045410e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.054468917846679688e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.717546463012695312e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.265763187408447266e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.676810646057128906e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.190734958648681641e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.658878898620605469e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-8.019354820251464844e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.761166381835937500e+01,3.000000000000000000e+00
-1.123435592651367188e+01,-1.121138095855712891e+01,4.000000000000000000e+00
-2.883253335952758789e+00,-2.945292711257934570e+00,3.000000000000000000e+00
-1.132395267486572266e+01,-1.132320308685302734e+01,4.000000000000000000e+00
1.034148788452148438e+01,1.056008243560791016e+01,3.000000000000000000e+00
1.095623970031738281e+00,1.149610996246337891e+00,3.000000000000000000e+00
2.607931137084960938e+00,2.675746202468872070e+00,3.000000000000000000e+00
-8.825804710388183594e+00,-8.775509834289550781e+00,4.000000000000000000e+00
9.224378585815429688e+00,9.067431449890136719e+00,3.000000000000000000e+00
3.485994100570678711e+00,3.592032670974731445e+00,4.000000000000000000e+00
2.371151447296142578e+00,2.651223421096801758e+00,3.000000000000000000e+00
-1.689097785949707031e+01,-1.684014320373535156e+01,4.000000000000000000e+00
1.423771858215332031e+01,1.426028347015380859e+01,4.000000000000000000e+00
1.151554298400878906e+01,1.147669792175292969e+01,3.000000000000000000e+00
-1.326937580108642578e+01,-1.320757102966308594e+01,4.000000000000000000e+00
-6.271544694900512695e-01,-5.604229569435119629e-01,3.000000000000000000e+00
1.571241140365600586e+00,1.591337442398071289e+00,4.000000000000000000e+00
1.314545989036560059e+00,1.195171594619750977e+00,4.000000000000000000e+00
-1.520390510559082031e+01,-1.525709819793701172e+01,4.000000000000000000e+00
-5.589431762695312500e+00,-5.541203975677490234e+00,4.000000000000000000e+00
-8.075431823730468750e+00,-8.098089218139648438e+00,3.000000000000000000e+00
9.189909934997558594e+00,9.157817840576171875e+00,4.000000000000000000e+00
1.819781303405761719e+01,1.835089874267578125e+01,3.000000000000000000e+00
-7.888831496238708496e-01,-6.657888293266296387e-01,3.000000000000000000e+00
-9.237004280090332031e+00,-9.211424827575683594e+00,3.000000000000000000e+00
5.196925640106201172e+00,5.153468132019042969e+00,3.000000000000000000e+00
1.409704589843750000e+01,1.411969280242919922e+01,4.000000000000000000e+00
-1.294511413574218750e+01,-1.295221710205078125e+01,4.000000000000000000e+00
-1.566150188446044922e+00,-1.574306607246398926e+00,3.000000000000000000e+00
-5.852833271026611328e+00,-5.700216770172119141e+00,3.000000000000000000e+00
1.795472621917724609e+00,1.781023979187011719e+00,3.000000000000000000e+00
4.625017940998077393e-01,3.862548470497131348e-01,3.000000000000000000e+00
1.302604198455810547e+01,1.303167533874511719e+01,3.000000000000000000e+00
-1.838212394714355469e+01,-1.827924156188964844e+01,4.000000000000000000e+00
1.615400910377502441e-01,1.799928992986679077e-01,3.000000000000000000e+00
1.887224078178405762e+00,1.968722581863403320e+00,4.000000000000000000e+00
1.099503040313720703e+01,1.102347946166992188e+01,4.000000000000000000e+00
1.843759155273437500e+01,1.839152145385742188e+01,4.000000000000000000e+00
1.738571763038635254e+00,1.680248856544494629e+00,3.000000000000000000e+00
-1.128224372863769531e+00,-1.122825145721435547e+00,4.000000000000000000e+00
-1.216124916076660156e+01,-1.221751880645751953e+01,4.000000000000000000e+00
4.532349586486816406e+00,4.470174789428710938e+00,4.000000000000000000e+00
6.367970943450927734e+00,6.311496734619140625e+00,3.000000000000000000e+00
1.525220632553100586e+00,1.625193119049072266e+00,4.000000000000000000e+00
2.201250791549682617e+00,2.187448978424072266e+00,3.000000000000000000e+00
-1.647038269042968750e+01,-1.638013458251953125e+01,4.000000000000000000e+00
4.219619750976562500e+00,4.172433853149414062e+00,3.000000000000000000e+00
3.098682880401611328e+00,2.993827581405639648e+00,3.000000000000000000e+00
-1.611783951520919800e-01,-8.373370766639709473e-02,3.000000000000000000e+00
6.231647968292236328e+00,6.183139324188232422e+00,4.000000000000000000e+00
-4.236721515655517578e+00,-4.278958320617675781e+00,4.000000000000000000e+00
1.027267694473266602e+00,1.205298304557800293e+00,4.000000000000000000e+00
1.469769477844238281e+00,1.423175215721130371e+00,3.000000000000000000e+00
-4.164854526519775391e+00,-4.097750663757324219e+00,4.000000000000000000e+00
1.345729255676269531e+01,1.338353252410888672e+01,3.000000000000000000e+00
-1.512742614746093750e+01,-1.519984340667724609e+01,4.000000000000000000e+00
-2.965917587280273438e+00,-3.016959905624389648e+00,3.000000000000000000e+00
7.347908020019531250e+00,7.447622299194335938e+00,4.000000000000000000e+00
2.296881437301635742e+00,2.260610580444335938e+00,4.000000000000000000e+00
-2.594749212265014648e+00,-2.512829303741455078e+00,3.000000000000000000e+00
1.131028747558593750e+01,1.128985500335693359e+01,4.000000000000000000e+00
-1.133632755279541016e+01,-1.138583087921142578e+01,3.000000000000000000e+00
2.993557214736938477e+00,2.931533336639404297e+00,3.000000000000000000e+00
3.754641294479370117e+00,3.679000377655029297e+00,3.000000000000000000e+00
-1.004415154457092285e+00,-1.035395383834838867e+00,4.000000000000000000e+00
-8.697817325592041016e-01,-8.733448386192321777e-01,3.000000000000000000e+00
1.399071931838989258e+00,1.501641869544982910e+00,3.000000000000000000e+00
-1.808998298645019531e+01,-1.815551757812500000e+01,3.000000000000000000e+00
-1.301066970825195312e+01,-1.316689491271972656e+01,4.000000000000000000e+00
-9.008282661437988281e+00,-9.077933311462402344e+00,4.000000000000000000e+00
6.424650669097900391e+00,6.379495143890380859e+00,4.000000000000000000e+00
2.267331600189208984e+00,2.211057662963867188e+00,3.000000000000000000e+00
3.096333980560302734e+00,3.126720190048217773e+00,3.000000000000000000e+00
7.340217828750610352e-01,7.690563797950744629e-01,3.000000000000000000e+00
-4.842983722686767578e+00,-4.682569503784179688e+00,4.000000000000000000e+00
1.098552417755126953e+01,1.105624389648437500e+01,4.000000000000000000e+00
4.321859836578369141e+00,4.306488990783691406e+00,4.000000000000000000e+00
-1.013679504394531250e+01,-1.011062526702880859e+01,4.000000000000000000e+00
