Compound,HOMO (eV),LUMO (eV),Energy Gap (eV),Dipole (Debye),Max Charge,Min Charge
lauric_acid,-6.64,-1.136,5.504,2.195772297,0.355879,-0.379298
levulinic_acid,-5.9592,-1.7849,4.174300000000001,1.79782911,0.358185,-0.377138
menthol,-6.0634,0.6158,6.6792,2.13049114,0.330184,-0.497649
phytol,-5.8153,-0.8118,5.0035,2.443811595,0.338798,-0.503125
12_butanediol,-6.1389,0.3958,6.5347,3.1678996,0.346444,-0.501429
b_sitosterol,-5.5805,-0.4764,5.1041,2.360773173,0.336079,-0.560703
choline_anion,-5.5785,9.3232,14.9017,7e-09,-1.0,-1.0
14_butanediol,-6.2654,0.6474,6.9128,3.040074595,0.341862,-0.503815
citric_acid,-6.6892,-1.8958,4.7934,6.278119322,0.373312,-0.470677
glucose,-6.0527,0.061,6.1137,4.110804666,0.352012,-0.494769
lupeol,-5.6783,-0.6515,5.0268,2.523189147,0.353058,-0.556303
squalene,-5.3299,-0.7065,4.6234,0.733121932,0.164673,-0.412885
chloroform,-7.5154,-2.1287,5.386699999999999,1.533445972,0.226226,-0.068888
dodecanol,-6.2546,0.6105,6.8651,2.092584135,0.340982,-0.500038
propionate_cation,-31.1633,-1.7181,29.4452,0.0,1.0,1.0
23_butanediol,-6.2957,0.311,6.6067,3.256053814,0.341385,-0.505275
cellobiose,-6.0722,0.011,6.0832,4.768440227,0.351726,-0.500477
hexane,-7.3593,0.6975,8.0568,0.000304744,0.127795,-0.378638
oxalic_acid,-6.7233,-3.1797,3.5436,0.000215959,0.377323,-0.326237
malic_acid,-6.7682,-1.6425,5.1257,4.539656792,0.372196,-0.478329
fructose,-6.0644,0.1423,6.2067,1.850640936,0.351144,-0.497772
sucrose,-5.8514,-0.0775,5.7739,1.891228951,0.351109,-0.501466
gallic_acid,-5.556,-2.3012,3.2548,3.832782097,0.371664,-0.441828
sorbitol,-6.0076,0.1481,6.1557,6.099699951,0.349105,-0.500561
lignin,-5.4715,-3.7947,1.6767999999999996,13.488514335,0.892487,-0.612156
n4444_cation,-7.8216,0.3091,8.130700000000001,0.016690614,0.227166,-0.39037
betaine_anion,-5.5785,9.3232,14.9017,7e-09,-1.0,-1.0
choline_chloride,-6.6475,-0.1923,6.4552,4.667370718,0.351905,-0.4832
urea,-6.2011,0.4792,6.6803,6.027934582,0.285661,-0.502004
betaine_cation,-7.2693,-1.7728,5.4965,8.91015498,0.38142,-0.332648
water,-7.1498,0.5348,7.6846,2.405349414,0.358535,-0.71702
glycerol,-6.2109,0.3746,6.5855,4.81264485,0.345596,-0.497629
quercetin,-5.2684,-2.7751,2.4932999999999996,8.775274543,0.373715,-0.471663
malonic_acid,-6.8946,-1.5208,5.373799999999999,3.440495113,0.366186,-0.353137
methanol,-6.3204,0.6471,6.9675,2.08539363,0.346022,-0.520654
thymol,-5.3975,-1.1816,4.2158999999999995,2.050532708,0.336373,-0.400556
propionate_anion,-4.8414,0.5745,5.415900000000001,6.730774052,0.194574,-0.568855
palmitic_acid,-6.6397,-1.1367,5.503,2.196078989,0.355859,-0.379316
13_butanediol,-6.1376,0.2893,6.4269,3.345671716,0.346861,-0.503942
octanoic_acid,-6.641,-1.1352,5.5058,2.197159656,0.355857,-0.37933
betaine,-5.5123,0.0259,5.5382,15.21831708,0.241799,-0.51348
16_hexanediol,-6.1631,0.6034,6.7665,3.027208691,0.336769,-0.504194
lactic_acid,-6.6263,-1.4722,5.1541,4.974939103,0.378271,-0.485204
ethylene_glycol,-6.1959,0.402,6.5979,3.018171466,0.345236,-0.505545
proline,-5.6337,-0.2476,5.3861,13.331887698,0.307804,-0.514843
ethanol,-6.3212,0.658,6.9792000000000005,2.162547181,0.33731,-0.511802
n4444_anion,-5.5993,6.4253,12.0246,2e-09,-1.0,-1.0
