Compound,Sigma_01,Sigma_02,Sigma_03,Sigma_04,Sigma_05,Sigma_06,Sigma_07,Sigma_08,Sigma_09,Sigma_10,Sigma_11,Sigma_12,Sigma_13,Sigma_14,Sigma_15,Sigma_16,Sigma_17,Sigma_18,Sigma_19,Sigma_20,Sigma_21,Sigma_22,Sigma_23,Sigma_24,Sigma_25,Sigma_26,Sigma_27,Sigma_28,Sigma_29,Sigma_30,Sigma_31,Sigma_32,Sigma_33,Sigma_34,Sigma_35,Sigma_36,Sigma_37,Sigma_38,Sigma_39,Sigma_40,Sigma_41,Sigma_42,Sigma_43,Sigma_44,Sigma_45,Sigma_46,Sigma_47,Sigma_48,Sigma_49,Sigma_50,Sigma_51
12_butanediol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694131889,11.736724084000002,22.988235972999995,12.313017686000002,41.80361410699998,173.4489882320001,73.14690089600003,70.15050203999976,12.998219014000028,19.39718791499979,31.40166394999983,28.166197765999925,0.2366220210000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_butanediol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994724377,11.675637494,20.921600632000004,15.598494091999989,46.38129359399998,163.43129393499973,72.69479653299993,70.48419664999966,14.665791680000098,20.734849611999834,32.769613683999694,27.535556753999742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_butanediol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053694371,0.0,21.859324831000002,23.827756477000015,12.090319219999984,20.688795599000024,204.11732701999998,81.16306430399965,43.75370300099979,17.663672740999914,16.379034398999977,31.305489882000018,41.9478513359997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16_hexanediol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.582963082000006,21.829500849,13.075528432999981,19.994246329,271.37338201500046,133.4428584170003,75.4218753189997,16.181352786999923,20.396852215000536,35.88602213100023,37.96662110900127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23_butanediol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216968429,13.177309887000002,19.88899270100001,13.134148602999993,56.61705689199998,158.2813694589999,58.27071402999991,78.20671560999995,18.70732937599996,17.53738291399992,31.89086937099978,25.825065846999735,0.2366220210000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b_sitosterol_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.533049027,15.906140064999995,9.337070000999997,38.97325947699997,637.4071565340001,525.6829987440007,440.9448659230022,64.08405250400119,17.88656778799964,13.122190449000072,24.643928950000372,0.23662202099990282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaine_anion_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.6215546079991,0.966996666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaine_cation_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907299600000001,2.648164261,5.113469855,25.110879356999998,17.10266279000001,48.248934576999936,171.6995981859999,97.15203219700044,105.22343276799984,14.210283450999952,16.544652244999952,30.428606035000314,43.82447095200098,8.277405094000187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaine_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157518827,0.7002411189999999,2.08927672,3.06509985,11.582203581999993,77.83820671899998,168.16832104999966,110.48255796699988,43.58944847499998,9.352759547000005,11.58633799300003,8.050445042999911,13.865361297999982,76.73026611500012,32.06983249300106,7.994938809000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellobiose_spe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7831031480000001,3.5052630769999986,68.90633351399997,87.97827503099991,59.34814926600012,284.64194012200056,151.83731321299842,94.5563592020012,70.75973019199967,56.223494171000766,103.21655969900019,185.39066791800076,62.28063365999992,0.6660597089999101,0.6195888659999582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
